{'model': 'vgae', 'task': 'train', 'dataset': 'pokec_n', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.001, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on pokec_n ---
Starting Stage 1 (VGAE) training on pokec_n...
Epoch 90 | Train Loss: 4.3486 | Val Loss: 4.4854 | LS: 0.0820 | LX: 1.6409 | LA: 1.2852 | HGR: 0.0013 | KL: 4.8958 | Ent: -0.1122 | Time: 0.33s
Epoch 91 | Train Loss: 4.3959 | Val Loss: 4.4778 | LS: 0.0823 | LX: 1.6390 | LA: 1.2849 | HGR: 0.0175 | KL: 5.2986 | Ent: -0.1103 | Time: 0.33s
Epoch 92 | Train Loss: 4.3220 | Val Loss: 4.3472 | LS: 0.0768 | LX: 1.6330 | LA: 1.2821 | HGR: 0.0244 | KL: 5.1759 | Ent: -0.1089 | Time: 0.33s
Epoch 93 | Train Loss: 4.2686 | Val Loss: 4.3086 | LS: 0.0769 | LX: 1.6312 | LA: 1.2773 | HGR: 0.0334 | KL: 4.6923 | Ent: -0.1055 | Time: 0.33s
Epoch 94 | Train Loss: 4.1863 | Val Loss: 4.4437 | LS: 0.0699 | LX: 1.6276 | LA: 1.2762 | HGR: 0.0253 | KL: 4.6945 | Ent: -0.1014 | Time: 0.33s
Epoch 95 | Train Loss: 4.2347 | Val Loss: 4.4359 | LS: 0.0720 | LX: 1.6272 | LA: 1.2780 | HGR: 0.0005 | KL: 5.0700 | Ent: -0.1020 | Time: 0.33s
Epoch 96 | Train Loss: 4.1778 | Val Loss: 4.3603 | LS: 0.0684 | LX: 1.6295 | LA: 1.2773 | HGR: -0.0268 | KL: 5.0485 | Ent: -0.0952 | Time: 0.33s
Epoch 97 | Train Loss: 4.1710 | Val Loss: 4.3503 | LS: 0.0702 | LX: 1.6281 | LA: 1.2743 | HGR: -0.0170 | KL: 4.7965 | Ent: -0.0954 | Time: 0.33s
Epoch 98 | Train Loss: 4.1534 | Val Loss: 4.4049 | LS: 0.0676 | LX: 1.6270 | LA: 1.2710 | HGR: 0.0187 | KL: 4.7677 | Ent: -0.0928 | Time: 0.33s
Epoch 99 | Train Loss: 4.1129 | Val Loss: 4.3877 | LS: 0.0627 | LX: 1.6248 | LA: 1.2655 | HGR: 0.0184 | KL: 5.0107 | Ent: -0.0849 | Time: 0.33s
Epoch 100 | Train Loss: 4.0175 | Val Loss: 4.3380 | LS: 0.0558 | LX: 1.6238 | LA: 1.2633 | HGR: -0.0131 | KL: 4.9645 | Ent: -0.0829 | Time: 0.33s
Epoch 101 | Train Loss: 4.1110 | Val Loss: 4.3410 | LS: 0.0641 | LX: 1.6226 | LA: 1.2664 | HGR: 0.0291 | KL: 4.8150 | Ent: -0.0847 | Time: 0.33s
Epoch 102 | Train Loss: 4.0572 | Val Loss: 4.3970 | LS: 0.0601 | LX: 1.6246 | LA: 1.2669 | HGR: -0.0069 | KL: 4.8588 | Ent: -0.0825 | Time: 0.33s
Epoch 103 | Train Loss: 3.9897 | Val Loss: 4.3525 | LS: 0.0521 | LX: 1.6240 | LA: 1.2650 | HGR: 0.0135 | KL: 4.9618 | Ent: -0.0766 | Time: 0.33s
Epoch 104 | Train Loss: 3.9832 | Val Loss: 4.2936 | LS: 0.0528 | LX: 1.6202 | LA: 1.2573 | HGR: 0.0313 | KL: 4.8836 | Ent: -0.0734 | Time: 0.33s
Epoch 105 | Train Loss: 3.9368 | Val Loss: 4.2835 | LS: 0.0528 | LX: 1.6214 | LA: 1.2540 | HGR: -0.0000 | KL: 4.5782 | Ent: -0.0753 | Time: 0.33s
Epoch 106 | Train Loss: 3.8837 | Val Loss: 4.3966 | LS: 0.0464 | LX: 1.6226 | LA: 1.2540 | HGR: 0.0263 | KL: 4.5672 | Ent: -0.0729 | Time: 0.33s
Epoch 107 | Train Loss: 3.9028 | Val Loss: 4.3875 | LS: 0.0472 | LX: 1.6199 | LA: 1.2547 | HGR: -0.0211 | KL: 4.9442 | Ent: -0.0726 | Time: 0.33s
Epoch 108 | Train Loss: 3.9675 | Val Loss: 4.2790 | LS: 0.0517 | LX: 1.6207 | LA: 1.2565 | HGR: 0.0231 | KL: 4.9289 | Ent: -0.0689 | Time: 0.33s
Epoch 109 | Train Loss: 3.8182 | Val Loss: 4.2579 | LS: 0.0422 | LX: 1.6217 | LA: 1.2529 | HGR: -0.0089 | KL: 4.6177 | Ent: -0.0644 | Time: 0.33s
Epoch 110 | Train Loss: 3.8457 | Val Loss: 4.3343 | LS: 0.0459 | LX: 1.6182 | LA: 1.2477 | HGR: 0.0106 | KL: 4.5132 | Ent: -0.0643 | Time: 0.33s
Epoch 111 | Train Loss: 3.8580 | Val Loss: 4.3327 | LS: 0.0451 | LX: 1.6182 | LA: 1.2427 | HGR: -0.0081 | KL: 4.8013 | Ent: -0.0702 | Time: 0.33s
